iter	RMSE
143	3.863433225
144	3.863405267
145	3.863398111
146	3.863394657
147	3.863392843
148	3.863357574
149	3.863337122
150	3.863335103
151	3.863310234
152	3.863289823
153	3.863239972
154	3.863224157
155	3.863136013
156	3.863103297
157	3.863001502
158	3.862997052
159	3.862988612
160	3.862974521
161	3.862947547
162	3.862828889
163	3.862822067
164	3.862819041
165	3.862810864
166	3.862809693
167	3.862774453
168	3.862727326
169	3.862706805
170	3.862672632
171	3.862655672
172	3.86264688
173	3.862574512
174	3.862574496
175	3.862510973
176	3.862510819
177	3.862492332
178	3.862404469
179	3.862378976
180	3.862328922
181	3.86228857
182	3.862288442
183	3.862268617
184	3.862251368
185	3.862247512
186	3.862185489
187	3.862151205
188	3.862142208
189	3.86213652
190	3.862127955
191	3.862127943
192	3.862111832
193	3.862020518
194	3.862011456
195	3.86199548
196	3.861983129
197	3.861983118
198	3.861941208
199	3.861921844
200	3.861909717
201	3.861892475
202	3.861878628
203	3.861852186
204	3.861850948
205	3.861750966
206	3.861734754
207	3.861697594
208	3.861694775
209	3.861663717
210	3.861646359
211	3.86162832
212	3.861529051
213	3.86151745
214	3.861470126
215	3.861469139
216	3.861432406
217	3.86142079
218	3.861366786
219	3.861347513
220	3.861345781
221	3.861325225
222	3.861254624
223	3.861243124
224	3.86118177
225	3.861171696
226	3.861117764
227	3.861102369
228	3.861102369
229	3.861039941
230	3.861025405
231	3.860971294
232	3.860959595
233	3.860955634
234	3.860867004
235	3.860834978
236	3.860742727
237	3.860712722
238	3.860676168
239	3.860638749
240	3.860614142
241	3.860586759
242	3.860531491
243	3.860513
244	3.860484731
245	3.860450936
246	3.860436301
247	3.860436192
248	3.860431896
249	3.860407388
250	3.860392252
251	3.860368173
252	3.860348363
253	3.860335679
254	3.860318486
255	3.860311037
256	3.860310975
257	3.860268531
258	3.860267599
259	3.860247276
260	3.860239681
261	3.860218341
262	3.860176907
263	3.860173215
264	3.860169228
265	3.860145306
266	3.860129673
267	3.86006938
268	3.86001832
269	3.860008238
270	3.85993669
271	3.859907302
272	3.85987035
273	3.859824972
274	3.859800367
275	3.859787472
276	3.859721612
277	3.85967338
278	3.85964809
279	3.859631383
280	3.85960244
281	3.859601262
282	3.859541216
283	3.859521903
284	3.859468253
285	3.85941569
286	3.859320811
287	3.859278052
288	3.859251474
289	3.859218218
290	3.859217387
291	3.859201203
292	3.859189184
293	3.859158414
294	3.859135806
295	3.859122522
296	3.859062533
297	3.859060973
298	3.859055055
299	3.859022789
300	3.859000399
301	3.858963717
302	3.858956996
303	3.858878249
304	3.858827244
305	3.858818715
306	3.858786264
307	3.85878083
308	3.858773833
309	3.858748441
310	3.858675376
311	3.858570303
312	3.858560147
313	3.858530834
314	3.858472874
315	3.858444853
316	3.858423793
317	3.85833697
318	3.858325468
319	3.858323926
320	3.858308103
321	3.858173505
322	3.858148356
323	3.858132226
324	3.858114569
325	3.858107427
326	3.858026007
327	3.857982568
328	3.857836524
329	3.857761459
330	3.857735954
331	3.857724293
332	3.857678741
333	3.857649526
334	3.857630877
335	3.857599024
336	3.857579451
337	3.857536543
338	3.857529693
339	3.857494631
340	3.857481333
341	3.857456568
342	3.857432935
343	3.857409353
344	3.857408069
345	3.857395033
346	3.857378577
347	3.857329065
348	3.857309515
349	3.857122993
350	3.857106824
351	3.857097641
352	3.85708023
353	3.856973508
354	3.856952542
355	3.856937426
356	3.856932323
357	3.856853206
358	3.856844224
359	3.856784134
360	3.856637094
361	3.856444413
362	3.856437862
363	3.856419987
364	3.856408017
365	3.856390292
366	3.856385794
367	3.856365488
368	3.856349412
369	3.856338983
370	3.856332711
371	3.856225382
372	3.856213405
373	3.856012573
374	3.855937417
375	3.855930836
376	3.855912646
377	3.855842838
378	3.855840037
379	3.855831073
380	3.855823739
381	3.85580776
382	3.855786102
383	3.855761501
384	3.855745462
385	3.855712191
386	3.855703346
387	3.855688403
388	3.855675154
389	3.855666716
390	3.855653299
391	3.85562744
392	3.855607224
393	3.85554354
394	3.855508638
395	3.855505799
396	3.855491269
397	3.855458001
398	3.855453288
399	3.855418736
400	3.855369013
401	3.855352254
402	3.855304626
403	3.855275633
404	3.855243918
405	3.855235605
406	3.855168455
407	3.855149589
408	3.85511136
409	3.855046407
410	3.85503843
411	3.855021137
412	3.854995379
413	3.85498738
414	3.854915022
415	3.854874255
416	3.854866416
417	3.854853953
418	3.85483364
419	3.854786132
420	3.854757212
421	3.854730553
422	3.854712156
423	3.85468761
424	3.854656823
425	3.854500171
426	3.85445549
427	3.854450691
428	3.854323565
429	3.854283212
430	3.854260606
431	3.854256059
432	3.854238073
433	3.854185163
434	3.854168113
435	3.854164607
436	3.854132081
437	3.854128715
438	3.854027182
439	3.85394933
440	3.853944066
441	3.853918607
442	3.853918117
443	3.853887859
444	3.853872667
445	3.853833116
446	3.853779985
447	3.853767933
448	3.853762842
449	3.853733065
450	3.853677216
451	3.853672779
452	3.853654371
453	3.853579168
454	3.853577382
455	3.853545273
456	3.853543785
457	3.853498423
458	3.853479914
459	3.853448379
460	3.85341784
461	3.8533598
462	3.853355559
463	3.853331173
464	3.853313164
465	3.853246968
466	3.853196495
467	3.853193702
468	3.853177303
469	3.85315645
470	3.853150072
471	3.853131739
472	3.85311051
473	3.853097349
474	3.853082426
475	3.853034383
476	3.853028582
477	3.852998185
478	3.852996526
479	3.852981096
480	3.852961581
481	3.852915233
482	3.852891798
483	3.852862179
484	3.852833902
485	3.852809664
486	3.85276324
487	3.852731186
488	3.852677604
489	3.852672846
490	3.852654752
491	3.852647644
492	3.852636619
493	3.852628303
494	3.852621823
495	3.852607896
496	3.852593828
497	3.852479967
498	3.852475254
499	3.852451298
500	3.852432825
501	3.852420054
502	3.852371953
503	3.852356502
504	3.852347171
505	3.852213353
506	3.852209425
507	3.852208142
508	3.852074628
509	3.852034893
510	3.852002667
511	3.851973487
512	3.851958635
513	3.851950344
514	3.851821424
515	3.851814749
516	3.851787999
517	3.85178704
518	3.851776728
519	3.851704769
520	3.851684534
521	3.851649489
522	3.85163452
523	3.851627712
524	3.851586412
525	3.851562775
526	3.851547562
527	3.851538285
528	3.851536604
529	3.851513576
530	3.851506672
531	3.851493287
532	3.851464566
533	3.851454532
534	3.851431091
535	3.851389603
536	3.851353256
537	3.851312649
538	3.851307603
539	3.851268779
540	3.85126225
541	3.851230407
542	3.851193843
543	3.851181638
544	3.851169786
545	3.851154519
546	3.851047649
547	3.85098464
548	3.850788061
549	3.850780487
550	3.850775979
551	3.850741729
552	3.850682992
553	3.850678916
554	3.850668081
555	3.850605907
556	3.850566597
557	3.850552389
558	3.850534456
559	3.850519984
560	3.850430145
561	3.850427068
562	3.850383986
563	3.850371205
564	3.850340055
565	3.850264576
566	3.850139211
567	3.850119407
568	3.850111353
569	3.850082878
570	3.850053124
571	3.850037709
572	3.850011471
573	3.849987894
574	3.849977033
575	3.84990098
576	3.849828859
577	3.849814127
578	3.849791266
579	3.84978352
580	3.849777699
581	3.849775847
582	3.849735887
583	3.849732095
584	3.849642024
585	3.849627547
586	3.849624445
587	3.849469269
588	3.84946173
589	3.849435842
590	3.849421725
591	3.849405899
592	3.849379531
593	3.849364101
594	3.849349057
595	3.849335201
596	3.849307681
597	3.849291851
598	3.849283129
599	3.849180579
600	3.849159359
601	3.849143642
602	3.849132119
603	3.849128718
604	3.849118925
605	3.849082053
606	3.84907775
607	3.849069201
608	3.849058243
609	3.849034224
610	3.849021182
611	3.849013363
612	3.848971905
613	3.848931347
614	3.848765248
615	3.848750274
616	3.848711196
617	3.848676682
618	3.848656733
619	3.848644084
620	3.848630594
621	3.84860079
622	3.848590283
623	3.848566089
624	3.848565893
625	3.848555401
626	3.848523174
627	3.848407267
628	3.84839686
629	3.848360214
630	3.848348604
631	3.848288982
632	3.848282407
633	3.848263182
634	3.84824826
635	3.848224719
636	3.84818823
637	3.848163186
638	3.848139688
639	3.848105604
640	3.848033627
641	3.848027998
642	3.847988737
643	3.847951921
644	3.847870074
645	3.847859103
646	3.847839144
647	3.847799691
648	3.847767619
649	3.847764045
650	3.847726867
651	3.847721382
652	3.847691533
653	3.847678788
654	3.847667038
655	3.847655058
656	3.847640378
657	3.847620544
658	3.84761929
659	3.847614233
660	3.84759409
661	3.847579038
662	3.847561867
663	3.847549039
664	3.847539169
665	3.847514459
666	3.847496433
667	3.847457499
668	3.847451199
669	3.847431941
670	3.847412499
671	3.847408597
672	3.847402554
673	3.847390407
674	3.847384435
675	3.847377117
676	3.847344502
677	3.847334753
678	3.847306508
679	3.847301696
680	3.847248112
681	3.847213914
682	3.847202227
683	3.847179101
684	3.847130472
685	3.847083678
686	3.847082896
687	3.847078606
688	3.847060434
689	3.846993816
690	3.846967788
691	3.846928208
692	3.846886356
693	3.846878681
694	3.846838385
695	3.846805296
696	3.846771078
697	3.846739318
698	3.846721611
699	3.846587809
700	3.846582969
701	3.846565943
702	3.846553104
703	3.846514627
704	3.846501296
705	3.846471602
706	3.846452767
707	3.846420176
708	3.846347627
709	3.846324416
710	3.846300179
711	3.84628695
712	3.846281232
713	3.846253975
714	3.846238934
715	3.846220313
716	3.846193921
717	3.84617593
718	3.846162639
719	3.846134271
720	3.846075291
721	3.846019397
722	3.845999645
723	3.845960617
724	3.845895582
725	3.845834786
726	3.845833759
727	3.845824391
728	3.845796488
729	3.845768938
730	3.845747137
731	3.845744737
732	3.845716869
733	3.845705796
734	3.845701264
735	3.845693427
736	3.845685507
737	3.845663892
738	3.845616357
739	3.845575532
740	3.845544863
741	3.845535305
742	3.845526608
743	3.84549408
744	3.845476294
745	3.845459857
746	3.845456985
747	3.84544941
748	3.845392118
749	3.845356939
750	3.845338868
751	3.845308869
752	3.84530081
753	3.845278974
754	3.845254603
755	3.845197592
756	3.845165757
757	3.845138671
758	3.8451155
759	3.845102234
760	3.845080053
761	3.845047344
762	3.845030645
763	3.845012754
764	3.844987064
765	3.844977798
766	3.844970815
767	3.844944556
768	3.844934758
769	3.844911123
770	3.844905889
771	3.844890421
772	3.844813484
773	3.844706427
774	3.844671419
775	3.844658551
776	3.844638473
777	3.844621096
778	3.844568519
779	3.844545366
780	3.844538522
781	3.844488707
782	3.844433754
783	3.844340679
784	3.844279728
785	3.844239838
786	3.844203471
787	3.844168539
788	3.844162783
789	3.84413965
790	3.844129592
791	3.844063292
792	3.844052208
793	3.84404722
794	3.844027614
795	3.843904653
796	3.843878531
797	3.843857067
798	3.843825755
799	3.843812844
800	3.843811268
801	3.843805714
802	3.843790862
803	3.843744085
804	3.843738715
805	3.843715834
806	3.843695386
807	3.843688155
808	3.843647248
809	3.843640033
810	3.843606131
811	3.843564423
812	3.843553669
813	3.843531534
814	3.843524395
815	3.843491485
816	3.843465166
817	3.843444095
818	3.843437612
819	3.843320144
820	3.843287199
821	3.843272546
822	3.843187692
823	3.843182738
824	3.84317951
825	3.843100106
826	3.843084096
827	3.843037017
828	3.843029633
829	3.842982737
830	3.842973645
831	3.842943172
832	3.842930372
833	3.842919901
834	3.842898914
835	3.842842929
836	3.842835855
837	3.842819732
838	3.842788067
839	3.842766796
840	3.842724922
841	3.842704774
842	3.842543113
843	3.842487662
844	3.842468886
845	3.842422422
846	3.842290424
847	3.84228565
848	3.842219483
849	3.842209502
850	3.842122225
851	3.842111886
852	3.842105754
853	3.842080593
854	3.84207501
855	3.842049741
856	3.842007197
857	3.841986649
858	3.841949635
859	3.841945679
860	3.841926245
861	3.841919663
862	3.841902568
863	3.841833387
864	3.841740431
865	3.841698741
866	3.841600953
867	3.841536152
868	3.841409533
869	3.841394504
870	3.841364948
871	3.841348293
872	3.841320306
873	3.841303463
874	3.841296522
875	3.841266401
876	3.84124644
877	3.841232256
878	3.841219767
879	3.841204953
880	3.841196645
881	3.84119266
882	3.841175369
883	3.841155194
884	3.841073377
885	3.841039445
886	3.841011027
887	3.840997412
888	3.84086471
889	3.840805377
890	3.840776574
891	3.840771584
892	3.840733055
893	3.840718932
894	3.840654847
895	3.840637948
896	3.84061266
897	3.840585984
898	3.84057408
899	3.840549073
900	3.840542925
901	3.840524211
902	3.840519781
903	3.84049639
904	3.840476889
905	3.84045053
906	3.840442202
907	3.840435595
908	3.840432251
909	3.840430053
910	3.840416474
911	3.840354798
912	3.840345233
913	3.840332686
914	3.840317107
915	3.840300831
916	3.840288195
917	3.84026131
918	3.840237648
919	3.840215858
920	3.840213172
921	3.840185621
922	3.840113249
923	3.840101031
924	3.840089721
925	3.840083554
926	3.840069303
927	3.840057973
928	3.840010287
929	3.839976887
930	3.839975414
931	3.83993187
932	3.839919611
933	3.83990902
934	3.839907052
935	3.839903041
936	3.8398203
937	3.839774753
938	3.839766533
939	3.839742106
940	3.839717261
941	3.839699402
942	3.839683538
943	3.839668633
944	3.839638214
945	3.839597576
946	3.839589812
947	3.839577976
948	3.839559988
949	3.839530133
950	3.839514801
951	3.839493847
952	3.839490633
953	3.83947436
954	3.839398871
955	3.839345339
956	3.83933382
957	3.839311021
958	3.839218769
959	3.83913796
960	3.839131516
961	3.839094096
962	3.839083319
963	3.839081359
964	3.839075607
965	3.838998615
966	3.838991457
967	3.838972293
968	3.838967378
969	3.83895351
970	3.838903891
971	3.838897807
972	3.838883
973	3.838837436
974	3.83881478
975	3.838755559
976	3.838749066
977	3.838738144
978	3.83871546
979	3.838714161
980	3.838695536
981	3.838692831
982	3.838649151
983	3.838647302
984	3.838637706
985	3.838587141
986	3.838582787
987	3.838576882
988	3.838559283
989	3.838554102
990	3.838531276
991	3.838522939
992	3.838496832
993	3.838471688
994	3.838463298
995	3.838459178
996	3.838444033
997	3.838429784
998	3.838370549
999	3.838366157
